REFSEQ	SYMBOL
NM_001282426	PIK3CG
NM_001261844	TESPA1
NM_001167674	CADM2
NM_001323651	ZEB1
NM_014761	IST1
NM_031371	ARID4B
NM_001193451	TMTC1
NM_005685	GTF2IRD1
NM_014662	DEPDC5
NM_001243186	PIM1
NM_004784	NDST3
NM_022770	GINS3
NM_003895	SYNJ1
NM_005618	DLL1
NM_006897	HOXC9
NM_001301191	LINGO1
NM_006772	SYNGAP1
NM_015553	IPCEF1
NM_000810	GABRA5
NM_004656	BAP1
NM_020064	BARHL1
NM_198889	ANKRD17
NM_001308222	KCNAB1
NM_024991	SORBS1
NM_001252275	UGT2A1
NM_001171610	LDB3
NM_001314045	IL33
NM_033439	IL33
NM_001320048	C1orf112
NM_015192	PLCB1
NM_014927	CNKSR2
NM_001321730	EXOC6B
NM_003728	UNC5C
NM_015906	TRIM33
NM_012419	RGS17
NM_001459	FLT3LG
NM_033296	MRFAP1
NM_001301199	LINGO1
NM_001282237	BCL11B
NM_001001557	GDF6
NM_001318008	FAM57A
NM_194332	RNF38
NM_005254	GABPB1
NM_001172173	CSRNP3
NM_021214	ABHD17C
NM_001291921	RXRA
NM_001301195	LINGO1
NM_006400	DCTN2
NM_001301186	LINGO1
NM_001174069	LMX1A
NM_001033087	MACROD2
NM_001166698	FAM13C
NM_014191	SCN8A
NM_145159	JAG2
NM_152231	FBXO34
NM_001128592	PSMG4
NM_147163	PSMG2
NM_001308022	TNS1
NM_001204056	ANKRD12
NM_001290298	SORBS1
NM_152871	FAS
NM_030751	ZEB1
NM_002156	HSPD1
NM_001100398	RAP1GAP2
NM_001321709	DGKI
NM_001323678	ZEB1
NM_001320778	SCAMP2
NM_001321729	EXOC6B
NM_001024808	BCL7A
NM_145861	EDARADD
NM_019843	EIF4ENIF1
NM_139244	STXBP5
NM_022902	SLC30A5
NM_001323965	TIAL1
NM_005114	HS3ST1
NM_030809	CSRNP2
NM_003749	IRS2
NM_001143970	CDYL
NM_001080116	LDB3
NM_001308392	CDH11
NM_001271684	SLC35A3
NM_001145065	CCSER1
NM_014623	MEA1
NM_002226	JAG2
NM_001270533	WTAP
NM_001323671	ZEB1
NM_001199880	EGR3
NM_001204220	ZNF670
NM_001322915	ZNF567
NM_001242897	DEPDC5
NM_001318091	AP3S1
NM_182643	DLC1
NM_000109	DMD
NM_001322402	ADGRL3
NM_001040011	SWI5
NM_052854	CREB3L1
NM_003709	KLF7
NM_001130407	PRR20E
NM_001260502	SRP68
NM_001024647	RAB3IP
NM_001198528	TCF7L2
NM_175625	RAB3IP
NM_001197222	PDE4D
NM_134261	RORA
NM_001137602	MEMO1
NM_001419	ELAVL1
NM_173508	SLC35F3
NM_170776	ADGRG3
NM_001199216	MAG
NM_001256469	KAT6B
NM_001039349	EFEMP1
NM_001039618	CREBZF
NM_001278188	TPM3
NM_001034957	SORBS1
NM_194329	RNF38
NM_001286777	CRISPLD1
NM_003505	FZD1
NM_001300979	ZNF567
NM_001270425	MAP4K3
NM_001278299	WIPI2
NM_032819	ZNF341
NM_001144964	NEDD4L
NM_001301778	SS18L1
NM_001197218	PDE4D
NM_001083588	E2F5
NM_001193480	ALDH8A1
NM_001286693	RGS22
NM_003463	PTP4A1
NM_001174093	ZEB1
NM_001031623	ZNF451
NM_130393	PTPRD
NM_000165	GJA1
NM_004773	ZNHIT3
NM_001281781	ZMYND8
NM_001242508	OSBPL1A
NM_001286622	MAP3K7CL
NM_000367	TPMT
NM_001282490	GOLGA8H
NM_001024380	TM2D2
NM_014980	STXBP5L
NM_004546	NDUFB2
NM_001168412	TSPAN3
NM_207293	MBNL1
NM_002245	KCNK1
NM_001099270	ZBTB34
NM_001142568	BBX
NM_001289183	ZNF302
NM_003106	SOX2
NM_001083617	RB1CC1
NM_024039	MIS12
NM_014912	CPEB3
NM_001318943	MEA1
NM_000484	APP
NM_001304808	BRD1
NM_003979	GPRC5A
NM_016374	ARID4B
NM_001190469	GDNF
NM_003601	SMARCA5
NM_001024924	EXOC1
NM_001197220	PDE4D
NM_001277196	PHF20L1
NM_023077	COA7
NM_001951	E2F5
NM_001261412	DCTN2
NM_015541	LRIG1
NM_001169122	AFF2
NM_001243286	NECTIN3
NM_018989	RBM27
NM_018099	FAR2
NM_001324297	MLLT10
NM_207370	GPR153
NM_001271288	ZNF512
NM_005674	ZNF239
NM_001305050	TMEM59
NM_198491	FAM92B
NM_001282601	PTGES3
NM_001130527	SPAG9
NM_001197219	PDE4D
NM_001277813	YTHDF3
NM_001324352	ZNF239
NM_001146283	TCF7L2
NM_004502	HOXB7
NM_001286838	GRID2
NM_194429	FGFR1OP
NM_001112726	CEP170B
NM_001286199	SCAF8
NM_030629	CMIP
NM_001304990	SPRY3
NM_025212	CXXC4
NM_207296	MBNL1
NM_001242539	NCOA6
NM_025153	ATP10B
NM_003252	TIAL1
NM_001145666	GLG1
NM_001293298	CEMIP
NM_030665	RAI1
NM_003411	ZFY
NM_001024381	TM2D2
NM_003478	CUL5
NM_001322184	DCT
NM_001314047	IL33
NM_001164234	DDHD2
NM_001098477	GRSF1
NM_001093725	MEX3A
NM_001322324	RALGPS1
NM_052879	LARP4
NM_015025	MYT1L
NM_018111	C19orf73
NM_001322918	ZNF567
NM_001286047	RBM7
NM_001080495	TNRC18
NM_001291875	IGF2BP2
NM_001127357	PHTF2
NM_015088	TNRC6B
NM_001005366	KDM2B
NM_198215	FAM13C
NM_001318140	ZNF485
NM_021090	MTMR3
NM_001134476	LRRC8B
NM_014734	SUSD6
NM_001244949	GPAM
NM_016848	SHC3
NM_138771	CCDC126
NM_001282536	PPFIA2
NM_001242896	DEPDC5
NM_024574	NDNF
NM_015350	LRRC8B
NM_001185075	FMR1
NM_001143773	FAM13C
NM_024942	C10orf88
NM_080668	CDCA5
NM_001305121	IQCK
NM_000405	GM2A
NM_001160302	SYNJ1
NM_001278638	FLT3LG
NM_001251971	SPAG9
NM_206907	PRKAA1
NM_170665	ATP2A2
NM_001101	ACTB
NM_001278243	ZFAND5
NM_001322912	ZNF567
NM_001006657	WDR35
NM_014765	TOMM20
NM_001010898	SLC6A17
NM_004583	RAB5C
NM_153273	IP6K1
NM_003741	CHRD
NM_001127392	MYRF
NM_001318007	FAM57A
NM_001256549	PCGF5
NM_001145909	TANC1
NM_001256468	KAT6B
NM_022893	BCL11A
NM_001243349	SH3D19
NM_001290297	SORBS1
NM_001099283	ZNF239
NM_001324353	ZNF239
NM_032861	SERAC1
NM_025045	BAIAP2L2
NM_004022	DMD
NM_018125	ARHGEF10L
NM_001193348	MEF2C
NM_001270697	ARHGAP12
NM_013448	BAZ1A
NM_001256129	ARL8A
NM_020314	VPS35L
NM_004013	DMD
NM_001172432	PHKG2
NM_016422	RNF141
NM_015567	SLITRK5
NM_173531	ZNF100
NM_001080477	TENM3
NM_018412	ST7
NM_001323647	ZEB1
NM_001145442	POTEM
NM_001003792	RBMS3
NM_001706	BCL6
NM_001077397	IRF2BP2
NM_001797	CDH11
NM_018328	MBD5
NM_003442	ZNF143
NM_001002814	RAB11FIP1
NM_001301192	LINGO1
NM_003972	BTAF1
NM_173567	EPHX4
NM_001318765	HDHD2
NM_002024	FMR1
NM_001242830	ELOVL5
NM_017523	XAF1
NM_004392	DACH1
NM_001318134	GAK
NM_002093	GSK3B
NM_001242792	SNAP91
NM_001185081	FMR1
NM_175861	TMTC1
NM_004233	CD83
NM_001243737	TRAPPC13
NM_100486	WAC
NM_014781	RB1CC1
NM_001321853	JAK1
NM_002897	RBMS1
NM_001007278	TRIM13
NM_001318810	SLITRK3
NM_018313	PBRM1
NM_032731	TXNDC17
NM_001172085	TBP
NM_006079	CITED2
NM_001282971	MTSS1
NM_001206794	ARID4B
NM_022128	RBKS
NM_198212	CAV2
NM_001286046	RBM7
NM_001009955	SSBP3
NM_001322920	ZNF567
NM_001308142	MRTFB
NM_002079	GOT1
NM_001271867	GTF2H3
NM_138635	H2AFV
NM_001126130	GINS3
NM_001282427	PIK3CG
NM_024047	NUDT9
NM_001323968	TIAL1
NM_181672	OGT
NM_001282778	RGS7
NM_004960	FUS
NM_001319154	MPPE1
NM_001323654	ZEB1
NM_016396	CTDSPL2
NM_001302378	RBSN
NM_001301128	MAGI2
NM_004879	EI24
NM_001220479	PPFIA2
NM_018489	ASH1L
NM_001134321	RTL8A
NM_172389	NFATC1
NM_001287443	JADE1
NM_001195803	LDLR
NM_002698	POU2F2
NM_001003943	BMF
NM_001003931	PARP3
NM_032434	ZNF512
NM_022351	NECAB1
NM_033081	DIDO1
NM_020335	VANGL2
NM_001290022	THPO
NM_014247	RAPGEF2
NM_199188	LARP4
NM_001142339	GNAL
NM_001287440	JADE1
NM_001233	CAV2
NM_001134647	AFAP1
NM_006234	POLR2J
NM_001242903	AKAP1
NM_001270934	JAKMIP2
NM_201267	NRP2
NM_001314046	IL33
NM_030774	OR51E2
NM_015574	ANKRD17
NM_001271318	ZNF512
NM_000720	CACNA1D
NM_001198786	POU2F1
NM_001128615	ARHGEF3
NM_014779	TSC22D2
NM_001286778	CRISPLD1
NM_001135733	TP53INP1
NM_002319	LRCH4
NM_006854	KDELR2
NM_152594	SPRED1
NM_001271010	FLI1
NM_001286805	TBC1D14
NM_001145275	ZFY
NM_001277814	YTHDF3
NM_013326	RMC1
NM_001318368	CDK8
NM_001282773	RGS7
NM_001172623	NEO1
NM_003317	NKX2-1
NM_001127242	BBC3
NM_015668	RGS22
NM_001099284	ZNF239
NM_138633	AKAP7
NM_001001996	GPM6B
NM_001286048	RBM7
NM_001270698	ARHGAP12
NM_000460	THPO
NM_001127358	PHTF2
NM_001190468	GDNF
NM_152519	KANSL1L
NM_001247994	POU2F2
NM_001278189	TPM3
NM_001174094	ZEB1
NM_003482	KMT2D
NM_182764	ELMO2
NM_001198529	TCF7L2
NM_001198526	TCF7L2
NM_001256503	CADM2
NM_001145667	GLG1
NM_001321710	DGKI
NM_152603	ZNF567
NM_207469	DEFB132
NM_030793	FBXO38
NM_001286619	MAP3K7CL
NM_006727	CDH10
NM_006265	RAD21
NM_001243804	ZC4H2
NM_006724	MAP3K4
NM_001291873	IGF2BP2
NM_001319162	CYP4B1
NM_001322185	DCT
NM_002590	PCDH8
NM_001166171	NEK6
NM_134428	RFX3
NM_001042519	C2orf88
NM_014755	SERTAD2
NM_001017371	SP3
NM_001322492	HPS1
NM_001177315	RRAS2
NM_005651	TDO2
NM_032124	HDHD2
NM_001286432	REV3L
NM_001317940	BNC2
NM_001025108	AFF3
NM_001303040	ITGA10
NM_004842	AKAP7
NM_019001	XRN1
NM_013261	PPARGC1A
NM_001318090	AP3S1
NM_152792	ASPRV1
NM_001168647	CNKSR2
NM_019589	YLPM1
NM_001146055	SNCA
NM_022716	PRRX1
NM_001025266	C3orf70
NM_001166600	FAM122B
NM_007006	NUDT21
NM_004262	TMPRSS11D
NM_001316969	C5orf30
NM_001168389	CITED2
NM_001287505	ITPRID2
NM_001323660	ZEB1
NM_001145661	GATA2
NM_032208	ANTXR1
NM_001308360	ADGRG3
NM_207295	MBNL1
NM_001305051	TMEM59
NM_001318942	MEA1
NM_001136554	TLK1
NM_178557	NAT8L
NM_001099772	CYP4B1
NM_006088	TUBB4B
NM_001193347	MEF2C
NM_002196	INSM1
NM_001323967	TIAL1
NM_015984	UCHL5
NM_001286431	REV3L
NM_001297733	COX18
NM_198465	NRK
NM_014747	RIMS3
NM_001174159	SH2D4A
NM_016224	SNX9
NM_020783	SYT4
NM_001850	COL8A1
NM_001079526	IKZF2
NM_001324337	SHOC2
NM_006313	USP15
NM_001293079	CHN2
NM_134262	RORA
NM_032776	JMJD1C
NM_001290296	SORBS1
NM_001100829	TMEM170B
NM_001164731	REEP1
NM_181656	C17orf58
NM_001003793	RBMS3
NM_003971	SPAG9
NM_004307	APBB2
NM_012474	UCK2
NM_001272053	MRFAP1
NM_005274	GNG5
NM_001079874	VAV3
NM_001135004	DNAJB5
NM_016169	SUFU
NM_001305122	IQCK
NM_001323648	ZEB1
NM_145716	SSBP3
NM_032980	DTNA
NM_002790	PSMA5
NM_001164685	THEMIS
NM_002037	FYN
NM_001282472	GOLGA8J
NM_133170	PTPRT
NM_001128924	SH3D19
NM_032869	NUDCD1
NM_198213	OASL
NM_182922	HEATR3
NM_002077	GOLGA1
NM_173075	APBB2
NM_001033520	WIPI2
NM_001322919	ZNF567
NM_005415	SLC20A1
NM_002912	REV3L
NM_022752	ZNF574
NM_001166599	FAM122B
NM_003111	SP3
NM_001174095	ZEB1
NM_001322913	ZNF567
NM_001323645	ZEB1
NM_181708	BCDIN3D
NM_006574	CSPG5
NM_001677	ATP1B1
NM_004257	TGFBRAP1
NM_001278244	ZFAND5
NM_001010923	THEMIS
NM_001323653	ZEB1
NM_001271866	GTF2H3
NM_003637	ITGA10
NM_004887	CXCL14
NM_001164160	PPP6R3
NM_014688	USP6NL
NM_032812	PLXDC2
NM_004869	VPS4B
NM_001282932	ABI2
NM_001105677	UGT2A2
NM_181501	ITGA1
NM_021109	TMSB4X
NM_001303013	PLCH2
NM_001130926	MEF2A
NM_001282391	EPC1
NM_182765	HECTD2
NM_001287442	JADE1
NM_001177711	RBMS3
NM_015335	MED13L
NM_003995	NPR2
NM_001242338	ATAD2B
NM_001322258	JMJD1C
NM_174937	TCERG1L
NM_001143677	SGK1
NM_030756	TCF7L2
NM_001260	CDK8
NM_001197223	PDE4D
NM_001166053	APBB2
NM_032410	HOOK3
NM_001178078	STAT6
NM_001164271	DLC1
NM_152758	YTHDF3
NM_002906	RDX
NM_153456	HS6ST3
NM_004016	DMD
NM_001301197	LINGO1
NM_001304963	NUDT10
NM_001321854	JAK1
NM_001321313	NAB1
NM_001321733	EXOC6B
NM_001256570	RXRG
NM_130391	PTPRD
NM_015245	ANKS1A
NM_000779	CYP4B1
NM_001001555	GRB10
NM_153620	HOXA1
NM_006113	VAV3
NM_133376	ITGB1
NM_001242956	SEPTIN7
NM_004872	TMEM59
NM_001290406	TAL1
NM_001166051	APBB2
NM_001164501	EIF4ENIF1
NM_001265603	MORF4L1
NM_001206945	CSPG5
NM_001206748	CAV2
NM_001286790	CNOT6L
NM_001166054	APBB2
NM_153690	FAM43A
NM_001323676	ZEB1
NM_001127715	STXBP5
NM_001278122	ZKSCAN8
NM_173465	COL23A1
NM_022781	RNF38
NM_001278182	EOMES
NM_001318093	AP3S1
NM_013437	LRP12
NM_001099733	ADCYAP1
NM_005697	SCAMP2
NM_001308097	G2E3
NM_001142503	STARD8
NM_001005463	EBF3
NM_001322916	ZNF567
NM_001306070	MBNL2
NM_017628	TET2
NM_001321734	EXOC6B
NM_001323656	ZEB1
NM_001321921	FAM219B
NM_182734	PLCB1
NM_001134451	TMEM130
NM_022898	BCL11B
NM_203309	HEATR4
NM_001160116	C15orf40
NM_002866	RAB3A
NM_001322322	RALGPS1
NM_198935	SS18L1
NM_001319163	CYP4B1
NM_015656	KIF26A
NM_001290003	THPO
NM_057175	NAA15
NM_021813	BACH2
NM_001043352	TPM3
NM_203446	SYNJ1
NM_005626	SRSF4
NM_001193349	MEF2C
NM_005922	MAP3K4
NM_001286821	LETM2
NM_031419	NFKBIZ
NM_001040280	CD83
NM_032808	LINGO1
NM_022374	ATL2
NM_001303433	FUBP1
NM_001323641	ZEB1
NM_005406	ROCK1
NM_001321918	ZFP82
NM_001206741	HSD11B1
NM_001321166	ARHGAP44
NM_182485	CPEB2
NM_001130699	IPCEF1
NM_001143976	WEE1
NM_004722	AP4M1
NM_000678	ADRA1D
NM_001185056	CLDN11
NM_005880	DNAJA2
NM_001287245	ZNF621
NM_001012267	CENPP
NM_001033723	ZNF704
NM_000408	GPD2
NM_020922	WNK3
NM_006822	RAB40B
NM_001270699	ARHGAP12
NM_016628	WAC
NM_173827	COX18
NM_001324336	SHOC2
NM_138459	NUS1
NM_006094	DLC1
NM_032457	PCDH7
NM_007146	VEZF1
NM_003657	BCAS1
NM_001301239	UGT2A1
NM_001005474	NFKBIZ
NM_002499	NEO1
NM_001220473	PPFIA2
NM_000816	GABRG2
NM_001042520	C2orf88
NM_001199774	PSMA5
NM_194451	LIAS
NM_001303264	TSC22D2
NM_001135048	JDP2
NM_018475	TMEM165
NM_001286725	KLHL1
NM_005278	GPM6B
NM_001131005	MEF2C
NM_001321100	PGAP1
NM_018684	ZC4H2
NM_001193369	DIDO1
NM_181755	HSD11B1
NM_001319837	ARHGEF10L
NM_004012	DMD
NM_016200	LSM8
NM_004021	DMD
NM_024941	TRAPPC13
NM_005087	FXR1
NM_006982	ALX1
NM_014683	ULK2
NM_001167606	RAB35
NM_031216	SEH1L
NM_001244134	MAP3K8
NM_001002796	MCTP1
NM_020453	ATP10D
NM_000767	CYP2B6
NM_001078172	RTL8A
NM_001130927	MEF2A
NM_005475	SH2B3
NM_025065	RPF1
NM_012164	FBXW2
NM_001017969	KIAA2026
NM_015361	R3HDM1
NM_001271286	ZNF512
NM_001286692	RGS22
NM_014992	DAAM1
NM_017969	IWS1
NM_001282933	ZNF341
NM_012287	ACAP2
NM_001322911	ZNF567
NM_001258218	MIS12
NM_004011	DMD
NM_013398	ZNF224
NM_001308002	MEF2C
NM_003383	VLDLR
NM_005121	MED13
NM_001134398	VAV2
NM_005127	CLEC2B
NM_001168388	CITED2
NM_001323665	ZEB1
NM_001002295	GATA3
NM_018092	NETO2
NM_001282548	BARD1
NM_024871	MAP6D1
NM_001204503	FLT3LG
NM_001167607	GM2A
NM_207015	NAALADL2
NM_001170765	LCOR
NM_001292035	TAB2
NM_007373	SHOC2
NM_001286971	CENPP
NM_001145001	NEK6
NM_001322182	DCT
NM_001220480	PPFIA2
NM_003342	UBE2G1
NM_001320923	JAK1
NM_001100393	RALYL
NM_001199012	STPG1
NM_001448	GPC4
NM_001042479	GEMIN8
NM_001079802	FKTN
